ride_id,bike_type,start_time,end_time,start_station_id,end_station_id
20240917_NRfczc,ebike,2024-09-17 00:00:20.382,2024-09-17 00:03:44.453,ST_HX4,ST_vkk
20240917_HovlkY,ebike,2024-09-17 00:01:06.421,2024-09-17 00:03:06.629,ST_7Y6,ST_MdI
20240917_dWMfwn,mechanical,2024-09-17 00:01:45.704,2024-09-17 00:08:33.361,ST_PBx,ST_bZV
20240917_tggvtU,ebike,2024-09-17 00:02:16.750,2024-09-17 00:14:28.309,ST_H2g,ST_Jbm
20240917_i11qOt,ebike,2024-09-17 00:02:18.110,2024-09-17 00:29:04.943,ST_5Ws,ST_Jbm
20240917_0h9EYo,mechanical,2024-09-17 00:02:20.469,2024-09-17 00:08:34.521,ST_jCr,ST_9nO
20240917_7zSxCK,ebike,2024-09-17 00:02:38.595,2024-09-17 00:18:29.871,ST_m2h,ST_nMV
20240917_6FARLA,ebike,2024-09-17 00:03:34.543,2024-09-17 00:41:59.364,ST_gm1,ST_nMV
20240917_VZgmKs,ebike,2024-09-17 00:04:05.640,2024-09-17 00:11:39.486,ST_Gwz,ST_9nO
20240917_j9Bcmd,ebike,2024-09-17 00:04:36.957,2024-09-17 00:09:36.398,ST_sG5,ST_nMV
20240917_E6bU8C,ebike,2024-09-17 00:04:51.899,2024-09-17 00:20:23.073,ST_zzY,ST_8Yn
20240917_6ptVHo,mechanical,2024-09-17 00:05:35.127,2024-09-17 00:14:08.479,ST_wpF,ST_3oG
20240917_MyUiyJ,ebike,2024-09-17 00:05:40.881,2024-09-17 00:54:17.700,ST_775,ST_QBW
20240917_8KXxKf,ebike,2024-09-17 00:07:38.991,2024-09-17 00:10:34.490,ST_hk3,ST_Qyc
20240917_IUkb7Q,ebike,2024-09-17 00:08:10.529,2024-09-17 00:12:55.553,ST_mXi,ST_HuX
20240917_i6oKpg,mechanical,2024-09-17 00:08:32.793,2024-09-17 00:27:18.618,ST_x2f,ST_rau
20240917_GHSEyC,mechanical,2024-09-17 00:08:38.745,2024-09-17 00:19:00.968,ST_bYh,ST_tQR
20240917_k1xQ1C,ebike,2024-09-17 00:08:46.664,2024-09-17 00:14:06.241,ST_ZlU,ST_Mn3
20240917_pbQtxJ,ebike,2024-09-17 00:08:52.510,2024-09-17 00:18:40.244,ST_tQS,ST_Llj
20240917_dbE0eq,mechanical,2024-09-17 00:08:52.916,2024-09-17 00:12:56.387,ST_bCk,ST_Qyc
20240917_epLOkb,ebike,2024-09-17 00:08:56.996,2024-09-17 00:15:39.258,ST_z0f,ST_14P
20240917_vVL86q,mechanical,2024-09-17 00:08:59.430,2024-09-17 00:11:07.235,ST_gQN,ST_nMV
20240917_RSJh8g,ebike,2024-09-17 00:09:32.801,2024-09-17 00:17:40.250,ST_buP,ST_HP0
20240917_lRxrEx,ebike,2024-09-17 00:10:04.731,2024-09-17 00:12:57.242,ST_87V,ST_QBW
20240917_q7hx9R,ebike,2024-09-17 00:10:22.472,2024-09-17 00:21:35.399,ST_CBL,ST_yQG
20240917_oTvmCY,ebike,2024-09-17 00:10:32.826,2024-09-17 00:36:12.495,ST_fGn,ST_Mn3
20240917_MwlDAh,ebike,2024-09-17 00:11:50.499,2024-09-17 00:48:26.819,ST_Kfl,ST_MpB
20240917_2SBHSx,ebike,2024-09-17 00:11:56.922,2024-09-17 00:16:17.334,ST_Nk5,ST_14P
20240917_HCS2xy,ebike,2024-09-17 00:12:09.357,2024-09-17 00:35:39.154,ST_5de,ST_Jbm
20240917_gGJcyB,ebike,2024-09-17 00:12:15.133,2024-09-17 00:21:00.365,ST_wIj,ST_mkA
20240917_nca8jf,mechanical,2024-09-17 00:12:18.159,2024-09-17 00:18:09.954,ST_aA6,ST_Mn3
20240917_zoAcge,ebike,2024-09-17 00:12:34.900,2024-09-17 00:53:28.864,ST_xfq,ST_rp6
20240917_2kgkH0,mechanical,2024-09-17 00:14:12.843,2024-09-17 00:17:04.344,ST_gQN,ST_Cel
20240917_eFDMbI,ebike,2024-09-17 00:14:41.314,2024-09-17 00:22:29.915,ST_xP2,ST_MpB
20240917_EIXRXy,ebike,2024-09-17 00:15:50.420,2024-09-17 00:22:01.538,ST_WmI,ST_9nO
20240917_7cgVkT,mechanical,2024-09-17 00:16:07.563,2024-09-17 00:35:15.513,ST_AZK,ST_HP0
20240917_67M0fR,ebike,2024-09-17 00:16:26.075,2024-09-17 05:53:26.951,ST_IxJ,ST_Qyc
20240917_WyEtwa,ebike,2024-09-17 00:16:44.382,2024-09-17 00:19:06.719,ST_rUF,ST_QBW
20240917_XRjzv3,ebike,2024-09-17 00:16:45.558,2024-09-17 00:28:44.452,ST_E6L,ST_Mn3
20240917_3FFbfh,ebike,2024-09-17 00:20:56.320,2024-09-17 00:32:49.265,ST_toh,ST_Mn3
20240917_pcITwZ,ebike,2024-09-17 00:24:04.107,2024-09-17 00:26:10.724,ST_buP,ST_GVV
20240917_od4sC2,ebike,2024-09-17 00:24:07.350,2024-09-17 00:28:25.763,ST_nFg,ST_5Ws
20240917_42hmFc,ebike,2024-09-17 00:24:19.546,2024-09-17 00:27:58.162,ST_wL9,ST_OCh
20240917_iJFUVc,ebike,2024-09-17 00:25:15.684,2024-09-17 00:38:58.686,ST_Aev,ST_pqJ
20240917_v34oTL,ebike,2024-09-17 00:25:35.430,2024-09-17 00:34:39.864,ST_YLH,ST_pqJ
20240917_lg5lP9,ebike,2024-09-17 00:25:41.638,2024-09-17 00:28:13.279,ST_mXi,ST_l5E
20240917_unuZBa,ebike,2024-09-17 00:25:46.537,2024-09-17 00:33:51.515,ST_8dg,ST_dHG
20240917_JKozEL,ebike,2024-09-17 00:25:56.536,2024-09-17 01:01:28.013,ST_auE,ST_7Ta
20240917_zNQzDM,ebike,2024-09-17 00:25:57.083,2024-09-17 00:55:04.160,ST_eZS,ST_Jbm
20240917_umpexC,ebike,2024-09-17 00:26:37.891,2024-09-17 00:37:32.891,ST_BsR,ST_Z6H
20240917_QANPel,ebike,2024-09-17 00:26:54.991,2024-09-17 00:35:37.211,ST_eGN,ST_vj3
20240917_pHnrEo,ebike,2024-09-17 00:26:59.723,2024-09-17 00:39:40.787,ST_yWT,ST_QNA
20240917_TH6bDu,ebike,2024-09-17 00:27:36.699,2024-09-17 00:48:08.860,ST_5q4,ST_nMV
20240917_Yxg7MB,ebike,2024-09-17 00:28:04.187,2024-09-17 00:29:51.741,ST_W22,ST_kJA
20240917_6w91AQ,ebike,2024-09-17 00:29:06.429,2024-09-17 00:31:56.743,ST_toh,ST_vj3
